date,state,total cases,total deaths,new cases,new deaths
2020-03-13,Idaho,1,0,1,0
2020-03-14,Idaho,5,0,4,0
2020-03-15,Idaho,5,0,0,0
2020-03-16,Idaho,5,0,0,0
2020-03-17,Idaho,9,0,4,0
2020-03-18,Idaho,11,0,2,0
2020-03-19,Idaho,23,0,12,0
2020-03-20,Idaho,31,0,8,0
2020-03-21,Idaho,42,0,11,0
2020-03-22,Idaho,47,0,5,0
2020-03-23,Idaho,50,0,3,0
2020-03-24,Idaho,73,0,23,0
2020-03-25,Idaho,123,0,50,0
2020-03-26,Idaho,189,3,66,3
2020-03-27,Idaho,232,4,43,1
2020-03-28,Idaho,262,5,30,1
2020-03-29,Idaho,310,6,48,1
2020-03-30,Idaho,415,7,105,1
2020-03-31,Idaho,526,9,111,2
2020-04-01,Idaho,669,9,143,0
2020-04-02,Idaho,891,9,222,0
2020-04-03,Idaho,1012,10,121,1
2020-04-04,Idaho,1076,10,64,0
2020-04-05,Idaho,1100,10,24,0
2020-04-06,Idaho,1170,13,70,3
2020-04-07,Idaho,1210,15,40,2
2020-04-08,Idaho,1232,19,22,4
2020-04-09,Idaho,1366,24,134,5
2020-04-10,Idaho,1425,25,59,1
2020-04-11,Idaho,1438,27,13,2
2020-04-12,Idaho,1457,27,19,0
2020-04-13,Idaho,1499,33,42,6
2020-04-14,Idaho,1538,39,39,6
2020-04-15,Idaho,1587,41,49,2
2020-04-16,Idaho,1609,41,22,0
2020-04-17,Idaho,1655,43,46,2
2020-04-18,Idaho,1668,44,13,1
2020-04-19,Idaho,1672,45,4,1
2020-04-20,Idaho,1736,48,64,3
2020-04-21,Idaho,1766,51,30,3
2020-04-22,Idaho,1802,54,36,3
2020-04-23,Idaho,1836,54,34,0
2020-04-24,Idaho,1870,54,34,0
2020-04-25,Idaho,1887,56,17,2
2020-04-26,Idaho,1897,56,10,0
2020-04-27,Idaho,1917,58,20,2
2020-04-28,Idaho,1952,60,35,2
2020-04-29,Idaho,1984,60,32,0
2020-04-30,Idaho,2016,63,32,3
2020-05-01,Idaho,2035,63,19,0
2020-05-02,Idaho,2061,64,26,1
2020-05-03,Idaho,2059,64,0,0
2020-05-04,Idaho,2106,64,47,0
2020-05-05,Idaho,2127,66,21,2
2020-05-06,Idaho,2158,67,31,1
2020-05-07,Idaho,2178,67,20,0
2020-05-08,Idaho,2205,67,27,0
2020-05-09,Idaho,2230,67,25,0
2020-05-10,Idaho,2232,67,2,0
2020-05-11,Idaho,2261,69,29,2
2020-05-12,Idaho,2294,69,33,0
2020-05-13,Idaho,2325,69,31,0
2020-05-14,Idaho,2352,72,27,3
2020-05-15,Idaho,2389,73,37,1
2020-05-16,Idaho,2419,73,30,0
2020-05-17,Idaho,2421,73,2,0
2020-05-18,Idaho,2455,74,34,1
2020-05-19,Idaho,2476,77,21,3
2020-05-20,Idaho,2506,77,30,0
2020-05-21,Idaho,2534,77,28,0
2020-05-22,Idaho,2595,79,61,2
2020-05-23,Idaho,2626,79,31,0
2020-05-24,Idaho,2650,79,24,0
2020-05-25,Idaho,2664,79,14,0
2020-05-26,Idaho,2699,81,35,2
2020-05-27,Idaho,2731,82,32,1
2020-05-28,Idaho,2770,82,39,0
2020-05-29,Idaho,2804,82,34,0
2020-05-30,Idaho,2840,82,36,0
2020-05-31,Idaho,2855,82,15,0
2020-06-01,Idaho,2908,83,53,1
2020-06-02,Idaho,2935,83,27,0
2020-06-03,Idaho,2990,83,55,0
2020-06-04,Idaho,3054,83,64,0
2020-06-05,Idaho,3111,83,57,0
2020-06-06,Idaho,3139,83,28,0
2020-06-07,Idaho,3153,83,14,0
2020-06-08,Idaho,3197,83,44,0
2020-06-09,Idaho,3226,85,29,2
2020-06-10,Idaho,3262,85,36,0
2020-06-11,Idaho,3303,86,41,1
2020-06-12,Idaho,3354,87,51,1
2020-06-13,Idaho,3399,87,45,0
2020-06-14,Idaho,3413,88,14,1
2020-06-15,Idaho,3472,89,59,1
2020-06-16,Idaho,3543,89,71,0
2020-06-17,Idaho,3634,89,91,0
2020-06-18,Idaho,3744,90,110,1
2020-06-19,Idaho,3871,90,127,0
2020-06-20,Idaho,4006,90,135,0
2020-06-21,Idaho,4025,90,19,0
2020-06-22,Idaho,4267,90,242,0
2020-06-23,Idaho,4412,90,145,0
2020-06-24,Idaho,4650,91,238,1
2020-06-25,Idaho,4869,91,219,0
2020-06-26,Idaho,5149,91,280,0
2020-06-27,Idaho,5319,92,170,1
2020-06-28,Idaho,5543,91,224,0
2020-06-29,Idaho,5770,91,227,0
2020-06-30,Idaho,6124,92,354,1
2020-07-01,Idaho,6379,92,255,0
2020-07-02,Idaho,6688,93,309,1
2020-07-03,Idaho,7034,94,346,1
2020-07-04,Idaho,7431,94,397,0
2020-07-05,Idaho,7799,94,368,0
2020-07-06,Idaho,8222,94,423,0
2020-07-07,Idaho,8582,94,360,0
2020-07-08,Idaho,9004,98,422,4
2020-07-09,Idaho,9598,101,594,3
2020-07-10,Idaho,10073,101,475,0
2020-07-11,Idaho,10584,102,511,1
2020-07-12,Idaho,10971,102,387,0
2020-07-13,Idaho,11531,102,560,0
2020-07-14,Idaho,11962,103,431,1
2020-07-15,Idaho,12599,111,637,8
2020-07-16,Idaho,13261,114,662,3
2020-07-17,Idaho,13879,119,618,5
2020-07-18,Idaho,14433,120,554,1
