date,state,total doses,first dose,second dose
2021-01-12,Indiana,138327,114781,23546
2021-01-13,Indiana,157803,125763,32040
2021-01-14,Indiana,238750,203889,34861
2021-01-15,Indiana,260282,222599,37683
2021-01-16,Indiana,278871,237894,40977
2021-01-17,Indiana,297461,253189,44272
2021-01-18,Indiana,316051,268484,47567
2021-01-19,Indiana,334641,283779,50862
2021-01-20,Indiana,356336,297720,58616
2021-01-21,Indiana,387067,320266,66801
2021-01-22,Indiana,414041,340055,73986
2021-01-23,Indiana,445929,367944,77985
2021-01-24,Indiana,445929,367944,77985
2021-01-25,Indiana,491735,408181,83554
2021-01-26,Indiana,498701,413982,84719
2021-01-27,Indiana,524046,432791,91255
2021-01-28,Indiana,551994,454380,97614
2021-01-29,Indiana,581136,475928,105208
2021-01-30,Indiana,606979,495746,111233
2021-01-31,Indiana,606979,495746,111233
2021-02-01,Indiana,606979,495746,111233
2021-02-02,Indiana,612079,499215,112864
2021-02-03,Indiana,637499,517147,120352
2021-02-04,Indiana,670895,541269,129626
2021-02-05,Indiana,710523,568118,142405
2021-02-06,Indiana,749349,593266,156083
2021-02-07,Indiana,749349,593266,156083
2021-02-08,Indiana,749349,593266,156083
2021-02-09,Indiana,760610,598731,161879
2021-02-10,Indiana,795149,617918,177231
2021-02-11,Indiana,831349,637068,194281
2021-02-12,Indiana,872754,659495,213259
2021-02-13,Indiana,1017530,749756,267774
2021-02-14,Indiana,1057471,770193,287278
2021-02-15,Indiana,1073851,778621,295230
2021-02-16,Indiana,1090233,787050,303183
2021-02-17,Indiana,1111767,797872,313895
2021-02-18,Indiana,1124225,803800,320425
2021-02-19,Indiana,1192134,841694,350440
2021-02-20,Indiana,1232146,859278,372868
2021-02-21,Indiana,1267285,874152,393133
2021-02-22,Indiana,1290798,884605,406193
2021-02-23,Indiana,1297402,888217,409185
2021-02-24,Indiana,1354738,911754,442984
2021-02-25,Indiana,1443551,945948,497603
2021-02-26,Indiana,1488911,965809,523102
2021-02-27,Indiana,1535265,987547,547718
2021-02-28,Indiana,1573299,1004776,568523
2021-03-01,Indiana,1598266,1016048,582218
2021-03-02,Indiana,1607741,1021447,586294
2021-03-03,Indiana,1640647,1036064,604583
