date,state,total doses,first dose,second dose
2021-01-12,New Mexico,54679,43344,11335
2021-01-13,New Mexico,58299,45873,12426
2021-01-14,New Mexico,88996,73428,15568
2021-01-15,New Mexico,98883,80172,18711
2021-01-16,New Mexico,108083,88241,19842
2021-01-17,New Mexico,117284,96311,20973
2021-01-18,New Mexico,126484,104380,22104
2021-01-19,New Mexico,135686,112450,23236
2021-01-20,New Mexico,140834,116128,24706
2021-01-21,New Mexico,149970,122956,27014
2021-01-22,New Mexico,159489,130211,29278
2021-01-23,New Mexico,182097,148964,33133
2021-01-24,New Mexico,197514,162636,34878
2021-01-25,New Mexico,202037,166530,35507
2021-01-26,New Mexico,207402,171579,35823
2021-01-27,New Mexico,214330,176038,38292
2021-01-28,New Mexico,221941,180272,41669
2021-01-29,New Mexico,235960,189082,46878
2021-01-30,New Mexico,245480,195327,50153
2021-01-31,New Mexico,261282,204968,56314
2021-02-01,New Mexico,272315,212216,60099
2021-02-02,New Mexico,274681,213941,60740
2021-02-03,New Mexico,281854,219033,62821
2021-02-04,New Mexico,291536,224290,67246
2021-02-05,New Mexico,303815,231864,71951
2021-02-06,New Mexico,319290,240516,78774
2021-02-07,New Mexico,328430,245330,83100
2021-02-08,New Mexico,338998,251082,87916
2021-02-09,New Mexico,342272,253534,88738
2021-02-10,New Mexico,350793,258073,92720
2021-02-11,New Mexico,365770,264105,101665
2021-02-12,New Mexico,384279,272325,111954
2021-02-13,New Mexico,395199,276820,118379
2021-02-14,New Mexico,414854,286538,128316
2021-02-15,New Mexico,426541,293623,132918
2021-02-16,New Mexico,438229,300709,137520
2021-02-17,New Mexico,442082,302820,139262
2021-02-18,New Mexico,450553,306504,144049
2021-02-19,New Mexico,556728,379606,177122
2021-02-20,New Mexico,572783,386679,186104
2021-02-21,New Mexico,589612,394841,194771
2021-02-22,New Mexico,609964,409505,200459
2021-02-23,New Mexico,618237,414796,203441
2021-02-24,New Mexico,624365,417861,206504
2021-02-25,New Mexico,640742,426331,214411
2021-02-26,New Mexico,663313,438670,224643
2021-02-27,New Mexico,684084,450558,233526
2021-02-28,New Mexico,712850,467493,245357
2021-03-01,New Mexico,718800,470185,248615
2021-03-02,New Mexico,730091,475459,254632
2021-03-03,New Mexico,744455,483920,260535
2021-03-04,New Mexico,752585,488139,264446
2021-03-05,New Mexico,774933,502054,272879
2021-03-06,New Mexico,808501,519972,288529
2021-03-07,New Mexico,822742,528061,294681
2021-03-08,New Mexico,844321,541044,303277
2021-03-09,New Mexico,849927,545238,304689
2021-03-10,New Mexico,851834,546442,305392
2021-03-11,New Mexico,879447,563149,316298
2021-03-12,New Mexico,907958,581690,326268
2021-03-13,New Mexico,926509,591927,334582
2021-03-14,New Mexico,956486,608238,348248
2021-03-15,New Mexico,966971,613331,353640
2021-03-16,New Mexico,985267,621579,363688
2021-03-17,New Mexico,999007,630828,368179
2021-03-18,New Mexico,1020998,642435,378563
2021-03-19,New Mexico,1049112,658512,390600
2021-03-20,New Mexico,1084764,677668,407096
2021-03-21,New Mexico,1110657,691431,419226
2021-03-22,New Mexico,1124211,699102,425109
2021-03-23,New Mexico,1127775,701349,426426
2021-03-24,New Mexico,1138410,706947,431463
2021-03-25,New Mexico,1162703,722460,440243
2021-03-26,New Mexico,1190186,739270,450916
2021-03-27,New Mexico,1219921,757700,462221
2021-03-28,New Mexico,1255090,778035,477055
2021-03-29,New Mexico,1270973,785813,485160
2021-03-30,New Mexico,1274089,787206,486883
2021-03-31,New Mexico,1290970,797952,493018
2021-04-01,New Mexico,1314883,811808,503075
2021-04-02,New Mexico,1347538,828199,519339
2021-04-03,New Mexico,1378140,843781,534359
2021-04-04,New Mexico,1403318,858547,544771
2021-04-05,New Mexico,1412399,863155,549244
2021-04-06,New Mexico,1415204,864510,550694
2021-04-07,New Mexico,1422920,868372,554548
2021-04-08,New Mexico,1459408,888767,570641
2021-04-09,New Mexico,1492296,904820,587476
2021-04-10,New Mexico,1525050,920834,604216
2021-04-11,New Mexico,1552266,936846,615420
2021-04-12,New Mexico,1564550,942879,621671
