date,state,total doses,first dose,second dose
2021-01-12,Puerto Rico,69152,61486,7666
2021-01-13,Puerto Rico,79025,67475,11550
2021-01-14,Puerto Rico,94265,80310,13955
2021-01-15,Puerto Rico,103872,87512,16360
2021-01-16,Puerto Rico,110161,92549,17612
2021-01-17,Puerto Rico,116450,97586,18864
2021-01-18,Puerto Rico,122739,102623,20116
2021-01-19,Puerto Rico,129029,107661,21368
2021-01-20,Puerto Rico,135952,112524,23428
2021-01-21,Puerto Rico,146877,120250,26627
2021-01-22,Puerto Rico,160465,128284,32181
2021-01-23,Puerto Rico,172105,136400,35705
2021-01-24,Puerto Rico,182926,143910,39016
2021-01-25,Puerto Rico,186368,146984,39384
2021-01-26,Puerto Rico,187432,147910,39522
2021-01-27,Puerto Rico,198508,156071,42437
2021-01-28,Puerto Rico,210919,165862,45057
2021-01-29,Puerto Rico,223036,174840,48196
2021-01-30,Puerto Rico,234789,183630,51159
2021-01-31,Puerto Rico,248118,193842,54276
2021-02-01,Puerto Rico,252159,197187,54972
2021-02-02,Puerto Rico,252159,197187,54972
2021-02-03,Puerto Rico,265381,206430,58951
2021-02-04,Puerto Rico,276997,214661,62336
2021-02-05,Puerto Rico,286692,221431,65261
2021-02-06,Puerto Rico,298357,229133,69224
2021-02-07,Puerto Rico,298357,229133,69224
2021-02-08,Puerto Rico,298357,229133,69224
2021-02-09,Puerto Rico,312696,236882,75814
2021-02-10,Puerto Rico,323007,242200,80807
2021-02-11,Puerto Rico,335594,248934,86660
2021-02-12,Puerto Rico,335594,248934,86660
2021-02-13,Puerto Rico,369442,266635,102807
2021-02-14,Puerto Rico,381278,272485,108793
2021-02-15,Puerto Rico,383506,273609,109897
2021-02-16,Puerto Rico,385735,274733,111002
2021-02-17,Puerto Rico,390691,277616,113075
2021-02-18,Puerto Rico,406606,284163,122443
2021-02-19,Puerto Rico,447279,308150,139129
2021-02-20,Puerto Rico,462039,314053,147986
2021-02-21,Puerto Rico,474981,320383,154598
2021-02-22,Puerto Rico,476385,321729,154656
2021-02-23,Puerto Rico,480260,323611,156649
2021-02-24,Puerto Rico,495001,330605,164396
2021-02-25,Puerto Rico,509996,337907,172089
2021-02-26,Puerto Rico,536423,350005,186418
2021-02-27,Puerto Rico,538269,350851,187418
2021-02-28,Puerto Rico,549814,355184,194630
2021-03-01,Puerto Rico,554943,358606,196337
